market_question,category,themes,odds_timestamp,odds_prev,odds_curr,odds_delta,direction,side,ticker,entry_price,entry_time,liquidity,end_date,pnl_1h,exit_1h_price,win_1h,pnl_4h,exit_4h_price,win_4h
Fed rate hike in 2026?,fed-rate,fed_rate,2026-03-23T17:00:54+00:00,0.125,0.16,0.035,up,SELL,XLF,49.55580139160156,2026-03-23 17:30:00,43104.3057,2026-12-09T00:00:00Z,0.1731,49.470001220703125,1,0.9601,49.08000183105469,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T19:00:29+00:00,0.115,0.175,0.059999999999999984,up,SELL,RTX,206.05999755859375,2026-03-16 19:30:00,870595.0257,,2.1304,201.67010498046875,1,2.1304,201.67010498046875,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T19:00:29+00:00,0.115,0.175,0.059999999999999984,up,SELL,XLE,57.900001525878906,2026-03-16 19:30:00,870595.0257,,-1.582,58.816001892089844,0,-1.582,58.816001892089844,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T19:00:29+00:00,0.115,0.175,0.059999999999999984,up,SELL,USO,115.0199966430664,2026-03-16 19:30:00,870595.0257,,-2.0084,117.33000183105469,0,-2.0084,117.33000183105469,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T19:00:29+00:00,0.115,0.175,0.059999999999999984,up,SELL,OXY,57.26499938964844,2026-03-16 19:30:00,870595.0257,,-1.4407,58.09000015258789,0,-1.4407,58.09000015258789,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T19:00:29+00:00,0.115,0.175,0.059999999999999984,up,SELL,LMT,645.2100219726562,2026-03-16 19:30:00,870595.0257,,1.3918,636.22998046875,1,1.3918,636.22998046875,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T20:00:24+00:00,0.175,0.135,-0.03999999999999998,down,BUY,RTX,206.05999755859375,2026-03-16 19:30:00,870595.0257,,-2.1304,201.67010498046875,0,-2.1304,201.67010498046875,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T20:00:24+00:00,0.175,0.135,-0.03999999999999998,down,BUY,XLE,57.900001525878906,2026-03-16 19:30:00,870595.0257,,1.582,58.816001892089844,1,1.582,58.816001892089844,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T20:00:24+00:00,0.175,0.135,-0.03999999999999998,down,BUY,USO,115.0199966430664,2026-03-16 19:30:00,870595.0257,,2.0084,117.33000183105469,1,2.0084,117.33000183105469,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T20:00:24+00:00,0.175,0.135,-0.03999999999999998,down,BUY,OXY,57.26499938964844,2026-03-16 19:30:00,870595.0257,,1.4407,58.09000015258789,1,1.4407,58.09000015258789,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-16T20:00:24+00:00,0.175,0.135,-0.03999999999999998,down,BUY,LMT,645.2100219726562,2026-03-16 19:30:00,870595.0257,,-1.3918,636.22998046875,0,-1.3918,636.22998046875,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T13:00:21+00:00,0.145,0.205,0.06,up,SELL,RTX,198.17999267578125,2026-03-23 13:30:00,870595.0257,,-0.2346,198.64500427246094,0,-0.0202,198.22000122070312,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T13:00:21+00:00,0.145,0.205,0.06,up,SELL,XLE,59.63999938964844,2026-03-23 13:30:00,870595.0257,,0.7797,59.17499923706055,1,-0.1425,59.724998474121094,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T13:00:21+00:00,0.145,0.205,0.06,up,SELL,USO,111.45999908447266,2026-03-23 13:30:00,870595.0257,,2.7813,108.36000061035156,1,1.4175,109.88009643554688,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T13:00:21+00:00,0.145,0.205,0.06,up,SELL,OXY,60.27000045776367,2026-03-23 13:30:00,870595.0257,,1.709,59.2400016784668,1,-0.4563,60.54499816894531,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T13:00:21+00:00,0.145,0.205,0.06,up,SELL,LMT,625.72998046875,2026-03-23 13:30:00,870595.0257,,-0.1894,626.9149780273438,0,0.0767,625.25,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T16:00:19+00:00,0.235,0.175,-0.06,down,BUY,RTX,197.82000732421875,2026-03-23 16:30:00,870595.0257,,0.2022,198.22000122070312,1,-2.4416,192.99000549316406,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T16:00:19+00:00,0.235,0.175,-0.06,down,BUY,XLE,59.54499816894531,2026-03-23 16:30:00,870595.0257,,0.3023,59.724998474121094,1,2.7038,61.154998779296875,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T16:00:19+00:00,0.235,0.175,-0.06,down,BUY,USO,111.12000274658203,2026-03-23 16:30:00,870595.0257,,-1.1158,109.88009643554688,0,2.8438,114.27999877929688,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T16:00:19+00:00,0.235,0.175,-0.06,down,BUY,OXY,60.304500579833984,2026-03-23 16:30:00,870595.0257,,0.3988,60.54499816894531,1,2.538,61.834999084472656,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-23T16:00:19+00:00,0.235,0.175,-0.06,down,BUY,LMT,623.4451293945312,2026-03-23 16:30:00,870595.0257,,0.2895,625.25,1,-1.6754,613.0,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-24T18:00:38+00:00,0.135,0.165,0.03,up,SELL,RTX,194.4600067138672,2026-03-24 18:30:00,870595.0257,,0.2108,194.0500030517578,1,-0.2391,194.9250030517578,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-24T18:00:38+00:00,0.135,0.165,0.03,up,SELL,XLE,60.685001373291016,2026-03-24 18:30:00,870595.0257,,-0.2307,60.82500076293945,0,-0.0824,60.73500061035156,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-24T18:00:38+00:00,0.135,0.165,0.03,up,SELL,USO,114.19999694824219,2026-03-24 18:30:00,870595.0257,,-0.2934,114.53500366210938,0,3.3275,110.4000015258789,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-24T18:00:38+00:00,0.135,0.165,0.03,up,SELL,OXY,61.09000015258789,2026-03-24 18:30:00,870595.0257,,-0.2537,61.244998931884766,0,-0.3438,61.29999923706055,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-24T18:00:38+00:00,0.135,0.165,0.03,up,SELL,LMT,611.3599853515625,2026-03-24 18:30:00,870595.0257,,0.2094,610.0800170898438,1,-1.4918,620.47998046875,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T13:00:34+00:00,0.195,0.15,-0.04500000000000001,down,BUY,RTX,194.9250030517578,2026-03-25 13:30:00,870595.0257,,0.0821,195.0850067138672,1,0.4976,195.89500427246094,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T13:00:34+00:00,0.195,0.15,-0.04500000000000001,down,BUY,XLE,60.73500061035156,2026-03-25 13:30:00,870595.0257,,0.2881,60.90999984741211,1,0.0,60.73500061035156,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T13:00:34+00:00,0.195,0.15,-0.04500000000000001,down,BUY,USO,110.4000015258789,2026-03-25 13:30:00,870595.0257,,0.9781,111.47979736328125,1,1.9565,112.55999755859375,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T13:00:34+00:00,0.195,0.15,-0.04500000000000001,down,BUY,OXY,61.29999923706055,2026-03-25 13:30:00,870595.0257,,0.5383,61.630001068115234,1,0.7586,61.76499938964844,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T13:00:34+00:00,0.195,0.15,-0.04500000000000001,down,BUY,LMT,620.47998046875,2026-03-25 13:30:00,870595.0257,,0.2595,622.0900268554688,1,0.7124,624.9000244140625,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T15:00:38+00:00,0.135,0.105,-0.030000000000000013,down,BUY,RTX,195.1999969482422,2026-03-25 15:30:00,870595.0257,,0.3586,195.89999389648438,1,-0.1025,195.0,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T15:00:38+00:00,0.135,0.105,-0.030000000000000013,down,BUY,XLE,60.71500015258789,2026-03-25 15:30:00,870595.0257,,-0.1153,60.64500045776367,0,-0.2223,60.58000183105469,0
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T15:00:38+00:00,0.135,0.105,-0.030000000000000013,down,BUY,USO,112.12999725341797,2026-03-25 15:30:00,870595.0257,,0.4727,112.66000366210938,1,1.1237,113.38999938964844,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T15:00:38+00:00,0.135,0.105,-0.030000000000000013,down,BUY,OXY,61.380001068115234,2026-03-25 15:30:00,870595.0257,,0.2281,61.52000045776367,1,0.7739,61.85499954223633,1
US x Iran ceasefire by March 31?,iran,iran_conflict,2026-03-25T15:00:38+00:00,0.135,0.105,-0.030000000000000013,down,BUY,LMT,623.7650146484375,2026-03-25 15:30:00,870595.0257,,0.3246,625.7899780273438,1,0.0729,624.219970703125,1
